account_id,company,tier,arr,renewal_date
adv-001,AWS,enterprise,500000,2025-03-15
adv-002,Google Cloud,enterprise,450000,2025-04-01
adv-003,Anthropic,enterprise,300000,2025-03-30
adv-004,OpenAI,enterprise,350000,2025-05-15
adv-005,Stripe,enterprise,280000,2025-02-28
adv-006,Shopify,enterprise,250000,2025-04-15
adv-007,Slack,enterprise,220000,2025-03-01
adv-008,Notion,enterprise,200000,2025-04-30
adv-009,Figma,enterprise,180000,2025-05-01
adv-010,Linear,enterprise,150000,2025-02-15
adv-011,Vercel,enterprise,160000,2025-03-20
adv-012,Supabase,enterprise,140000,2025-04-10
adv-013,Prisma,enterprise,130000,2025-05-10
adv-014,Tailwind Labs,enterprise,120000,2025-02-28
adv-015,Cloudflare,enterprise,400000,2025-06-01
adv-016,DigitalOcean,enterprise,190000,2025-03-25
adv-017,Heroku,enterprise,170000,2025-04-20
adv-018,Twilio,enterprise,210000,2025-05-05
adv-019,SendGrid,enterprise,110000,2025-02-20
adv-020,Mailchimp,enterprise,100000,2025-03-10
adv-021,HubSpot,enterprise,260000,2025-04-25
adv-022,Salesforce,enterprise,380000,2025-05-20
adv-023,Marketo,enterprise,90000,2025-02-25
adv-024,Adobe,enterprise,320000,2025-06-15
adv-025,Canva,enterprise,140000,2025-03-18
adv-026,Zoom,enterprise,230000,2025-04-05
adv-027,Microsoft Teams,enterprise,200000,2025-05-25
adv-028,Discord,enterprise,80000,2025-02-10
adv-029,Telegram,enterprise,70000,2025-03-05
adv-030,WhatsApp,enterprise,60000,2025-04-12
adv-031,Dropbox,enterprise,150000,2025-05-08
adv-032,Box,enterprise,130000,2025-02-18
adv-033,WeTransfer,mid-market,50000,2025-03-12
adv-034,Datadog,enterprise,170000,2025-04-18
adv-035,New Relic,enterprise,160000,2025-05-12
adv-036,Splunk,enterprise,190000,2025-06-08
adv-037,Elastic,enterprise,140000,2025-02-22
adv-038,Grafana,enterprise,120000,2025-03-22
adv-039,Prometheus,mid-market,100000,2025-04-22
adv-040,Kubernetes,enterprise,180000,2025-05-18
adv-041,Docker,enterprise,200000,2025-06-20
adv-042,Red Hat,enterprise,220000,2025-02-08
adv-043,Ubuntu,enterprise,110000,2025-03-08
adv-044,Debian,mid-market,80000,2025-04-08
adv-045,Fedora,mid-market,70000,2025-05-28
adv-046,CentOS,mid-market,90000,2025-02-28
adv-047,AlmaLinux,mid-market,60000,2025-03-28
adv-048,Rocky Linux,mid-market,50000,2025-04-28
adv-049,SUSE,enterprise,85000,2025-05-22
adv-050,Oracle,enterprise,420000,2025-06-25
adv-051,Microsoft,enterprise,480000,2025-02-05
adv-052,Apple,enterprise,460000,2025-03-05
adv-053,Meta,enterprise,440000,2025-04-05
adv-054,Netflix,enterprise,240000,2025-05-05
adv-055,Spotify,enterprise,125000,2025-06-05
adv-056,Amazon,enterprise,500000,2025-02-12
adv-057,Tesla,enterprise,360000,2025-03-12
adv-058,SpaceX,enterprise,340000,2025-04-12
adv-059,Blue Origin,mid-market,90000,2025-05-12
adv-060,Unity,enterprise,145000,2025-06-12
adv-061,Unreal Engine,enterprise,135000,2025-02-16
adv-062,Godot,mid-market,75000,2025-03-16
adv-063,Blender,mid-market,65000,2025-04-16
adv-064,Mozilla,enterprise,95000,2025-05-16
adv-065,Brave,mid-market,85000,2025-06-16
adv-066,Vivaldi,mid-market,55000,2025-02-19
adv-067,Opera,mid-market,45000,2025-03-19
adv-068,Samsung,enterprise,290000,2025-04-19
adv-069,LG,enterprise,270000,2025-05-19
adv-070,Sony,enterprise,310000,2025-06-19
adv-071,Panasonic,enterprise,165000,2025-02-23
adv-072,Philips,enterprise,155000,2025-03-23
adv-073,Bosch,enterprise,185000,2025-04-23
adv-074,Siemens,enterprise,195000,2025-05-23
adv-075,GE,enterprise,205000,2025-06-23
adv-076,Honeywell,enterprise,175000,2025-02-26
adv-077,3M,enterprise,125000,2025-03-26
adv-078,Caterpillar,enterprise,115000,2025-04-26
adv-079,John Deere,enterprise,105000,2025-05-26
adv-080,Boeing,enterprise,225000,2025-06-26
adv-081,Airbus,enterprise,215000,2025-02-09
adv-082,Lockheed Martin,enterprise,235000,2025-03-09
adv-083,Raytheon,enterprise,145000,2025-04-09
adv-084,Northrop Grumman,enterprise,155000,2025-05-09
adv-085,General Dynamics,enterprise,135000,2025-06-09
adv-086,BAE Systems,enterprise,115000,2025-02-13
adv-087,Thales,enterprise,105000,2025-03-13
adv-088,Leonardo,enterprise,95000,2025-04-13
adv-089,Rafael,mid-market,85000,2025-05-13
adv-090,SAAB,mid-market,75000,2025-06-13
adv-091,IBM,enterprise,390000,2025-02-17
adv-092,Intel,enterprise,370000,2025-03-17
adv-093,AMD,enterprise,330000,2025-04-17
adv-094,NVIDIA,enterprise,410000,2025-05-17
adv-095,Qualcomm,enterprise,270000,2025-06-17
adv-096,Broadcom,enterprise,250000,2025-02-21
