account_id,company,tier,industry,arr,renewal_date,contact_email
acme-aws-001,Amazon Web Services,enterprise,Cloud Infrastructure,2500000,2025-06-15,procurement@aws.amazon.com
google-cloud-002,Google Cloud Platform,enterprise,Cloud Infrastructure,2000000,2025-07-01,sales@google.com
anthropic-001,Anthropic,enterprise,AI/ML,800000,2025-05-20,partnerships@anthropic.com
slack-001,Slack Technologies,enterprise,Collaboration,600000,2025-04-30,enterprise-sales@slack.com
notion-001,Notion Labs,mid-market,Productivity,180000,2025-05-15,sales@notion.so
github-001,GitHub (Microsoft),enterprise,Developer Tools,950000,2025-06-01,enterprise@github.com
openai-001,OpenAI,enterprise,AI/ML,1200000,2025-07-15,sales@openai.com
databricks-001,Databricks,enterprise,Data & AI,450000,2025-04-20,sales@databricks.com
stripe-001,Stripe,enterprise,Payments,380000,2025-05-10,partnerships@stripe.com
twilio-001,Twilio,enterprise,Communications,220000,2025-04-15,sales@twilio.com
figma-001,Figma,mid-market,Design Tools,150000,2025-06-10,partnerships@figma.com
asana-001,Asana,mid-market,Project Management,120000,2025-05-01,sales@asana.com
vercel-001,Vercel,mid-market,DevOps,95000,2025-04-25,sales@vercel.com
supabase-001,Supabase,startup,Database,45000,2025-03-30,partnerships@supabase.io
retool-001,Retool,startup,Low-Code,52000,2025-05-05,sales@retool.com
replit-001,Replit,startup,Developer Platform,38000,2025-04-10,partnerships@replit.com
hugging-face-001,Hugging Face,startup,AI/ML,65000,2025-06-20,business@huggingface.co
modal-001,Modal Labs,startup,Infrastructure,41000,2025-05-30,sales@modal.com
railway-001,Railway,startup,DevOps,35000,2025-04-05,partnerships@railway.app
render-001,Render,startup,Cloud Platform,32000,2025-03-25,sales@render.com
elastic-001,Elastic,enterprise,Search & Analytics,320000,2025-06-05,sales@elastic.co
mongodb-001,MongoDB,enterprise,Database,380000,2025-05-25,enterprise@mongodb.com
postgresql-001,PostgreSQL (EDB),mid-market,Database,110000,2025-04-30,sales@enterprisedb.com
redis-001,Redis,enterprise,Caching,210000,2025-06-15,sales@redis.com
cassandra-001,DataStax (Cassandra),mid-market,Database,95000,2025-05-20,sales@datastax.com
snowflake-001,Snowflake,enterprise,Data Warehouse,1100000,2025-07-10,enterprise@snowflake.com
bigquery-001,Google BigQuery,enterprise,Data Warehouse,580000,2025-06-30,sales@google.com
redshift-001,AWS Redshift,enterprise,Data Warehouse,420000,2025-06-15,sales@aws.amazon.com
dbt-001,dbt Labs,mid-market,Data Engineering,98000,2025-05-15,partnerships@dbtlabs.com
airbyte-001,Airbyte,startup,Data Integration,67000,2025-04-20,sales@airbyte.io
kafka-001,Confluent (Kafka),enterprise,Event Streaming,280000,2025-06-10,sales@confluent.io
rabbitmq-001,VMware (RabbitMQ),mid-market,Messaging,75000,2025-05-25,sales@vmware.com
nats-001,NATS,startup,Messaging,28000,2025-03-15,partnerships@nats.io
docker-001,Docker,enterprise,Containers,195000,2025-06-01,sales@docker.com
kubernetes-001,Linux Foundation (K8s),enterprise,Orchestration,150000,2025-05-30,partnerships@linuxfoundation.org
istio-001,Google (Istio),mid-market,Service Mesh,68000,2025-04-10,sales@google.com
vault-001,HashiCorp (Vault),enterprise,Security,185000,2025-05-20,enterprise@hashicorp.com
consul-001,HashiCorp (Consul),mid-market,Service Discovery,92000,2025-04-15,sales@hashicorp.com
